,car_name,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
42,Mahindra XUV500,3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000
43,Hyundai Grand,6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000
44,Maruti Swift Dzire,3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
45,Hyundai Grand,3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000
46,Honda Amaze,7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000
47,Maruti Wagon R,15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000
48,Maruti Swift Dzire,5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000
49,Honda City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
50,Renault KWID,5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
51,Maruti Vitara,3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
52,Hyundai i20,8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
53,Maruti Swift,10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000
54,Hyundai i20,5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
55,Mahindra Scorpio,5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000
56,Volkswagen Polo,5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000
57,Maruti Wagon R,7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
58,Honda City,7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
59,Maruti Baleno,5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
60,Toyota Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
61,Maruti Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
62,Hyundai i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000
63,Ford Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000
64,Maruti Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
65,Maruti Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
66,Volkswagen Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
67,Hyundai i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
68,Hyundai Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
69,Hyundai i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
70,Ford Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000
71,Hyundai Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
72,Renault KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000
73,Maruti Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
74,Maruti Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
75,Hyundai Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
76,Maruti Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000
77,Hyundai i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
78,Hyundai Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
79,Maruti Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
80,Maruti Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000
81,Maruti Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
82,Mahindra Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000
83,Mahindra Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000
84,Maruti Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
85,Hyundai Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
86,Maruti Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000
87,Maruti Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
88,Ford Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000
89,Hyundai Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000
90,Honda City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
91,Maruti Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000
92,Mahindra Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
93,Maruti Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
94,Maruti Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
95,Volkswagen Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000
96,Hyundai Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
97,Honda City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
98,Honda Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
99,Hyundai i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
100,Hyundai Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
101,Maruti Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
102,Maruti Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000
103,Hyundai Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000
104,Maruti Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
105,Hyundai Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
106,Honda City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000
107,Ford Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000
108,Mahindra Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
109,Maruti Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000
110,Maruti Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000
111,Maruti Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
112,Maruti Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
113,Hyundai i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
114,Maruti Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
115,Maruti Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
116,Hyundai Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
117,Maruti Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
118,Ford Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
119,Ford Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000
120,Ford Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000
121,Hyundai i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
122,Maruti Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
123,Hyundai i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
124,Maruti Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
125,Honda City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
126,Hyundai i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
127,Maruti Swift,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000
128,Honda City,7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000
129,Honda City,10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000
130,Hyundai i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
131,Renault KWID,4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,360000
132,Maruti Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
133,Hyundai Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000
134,Maruti Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
135,Honda City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
136,Maruti Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
137,Maruti Wagon R,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000
138,Maruti Ciaz,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000
139,Maruti Alto,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000
140,Honda City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
141,Renault KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
142,Hyundai i20,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000
143,Mahindra Scorpio,4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000
144,Maruti Alto,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
145,Maruti Baleno,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000
146,Mahindra Scorpio,14,110000,Individual,Diesel,Manual,13.5,2179,115.0,5,280000
147,Honda City,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
148,Hyundai Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000
149,Maruti Swift Dzire,6,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,530000
150,Renault KWID,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
151,Maruti Swift,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000
152,Renault KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000
153,Ford Ecosport,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000
154,Mahindra Scorpio,6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,920000
155,Mahindra XUV500,8,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,550000
156,Hyundai Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000
157,Mahindra XUV500,4,50000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1250000
158,Maruti Alto,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
159,Honda City,3,12000,Individual,Petrol,Automatic,18.0,1497,117.6,5,960000
160,Maruti Vitara,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
161,Volkswagen Polo,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000
162,Ford Figo,10,160800,Individual,Diesel,Manual,20.0,1399,68.0,5,250000
163,Hyundai Verna,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
164,Ford Ecosport,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
165,Hyundai Verna,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
166,Hyundai i20,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
167,Toyota Innova,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000
168,Hyundai Grand,4,90000,Individual,Petrol,Manual,18.9,1197,82.0,5,470000
169,Volkswagen Polo,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
170,Hyundai i20,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000
171,Maruti Wagon R,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000
172,Honda City,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000
173,Maruti Swift,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000
174,Hyundai i10,13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
175,Maruti Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,500000
176,Maruti Alto,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
177,Maruti Swift,8,34553,Dealer,Petrol,Manual,22.0,1197,81.8,5,375000
178,Maruti Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
179,Volkswagen Polo,11,350000,Individual,Petrol,Manual,16.47,1198,73.9,5,173000
180,Maruti Vitara,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
181,Mahindra Scorpio,4,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,850000
182,Hyundai i20,8,90000,Individual,Diesel,Manual,22.54,1396,88.76,5,285000
183,Maruti Swift Dzire,7,120000,Individual,Diesel,Manual,23.4,1248,74.0,5,450000
184,Hyundai Creta,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
185,Mahindra Scorpio,4,30000,Individual,Diesel,Manual,15.4,1997,120.0,7,1080000
186,Honda City,7,66100,Dealer,Diesel,Manual,26.0,1498,98.6,5,530000
187,Maruti Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,680000
188,Mahindra Scorpio,4,42000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1025000
189,Hyundai i20,4,55000,Individual,Petrol,Manual,18.6,1197,81.83,5,650000
190,Hyundai i10,9,110699,Dealer,Petrol,Manual,20.36,1197,78.9,5,194000
191,Maruti Baleno,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
192,Maruti Alto,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
193,Maruti Swift Dzire,11,44000,Dealer,Petrol,Manual,19.1,1197,85.8,5,250000
194,Maruti Vitara,3,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,730000
195,Hyundai Verna,5,55000,Dealer,Petrol,Manual,17.01,1591,121.3,5,650000
196,Maruti Vitara,4,45000,Dealer,Diesel,Manual,24.3,1248,88.5,5,790000
197,Maruti Baleno,4,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,620000
198,Hyundai Verna,8,50000,Individual,Petrol,Manual,17.01,1591,121.3,5,510000
199,Toyota Innova,4,52300,Dealer,Diesel,Manual,13.68,2393,147.51,7,1450000
200,Honda City,5,40000,Individual,Petrol,Automatic,18.0,1497,117.3,5,845000
201,Maruti Swift Dzire,7,61500,Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
202,Honda Amaze,6,59000,Dealer,Petrol,Manual,18.0,1198,86.7,5,395000
203,Hyundai Grand,3,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,450000
204,Hyundai Grand,8,61000,Dealer,Petrol,Manual,18.9,1197,82.0,5,325000
205,Mahindra XUV500,8,63000,Dealer,Diesel,Manual,15.1,2179,140.0,7,650000
206,Maruti Swift Dzire,4,22000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
207,Honda City,11,57977,Dealer,Petrol,Manual,17.0,1497,118.0,5,299000
208,Maruti Ertiga,7,48242,Dealer,Diesel,Manual,20.77,1248,88.76,7,524000
209,Ford Figo,9,68000,Dealer,Diesel,Manual,20.0,1399,68.05,5,169000
210,Maruti Ertiga,7,40000,Individual,Diesel,Manual,20.77,1248,88.8,7,500000
211,Maruti Swift Dzire,8,113450,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
212,Maruti Wagon R,3,80000,Individual,Petrol,Automatic,20.51,998,67.0,5,400000
213,Maruti Wagon R,6,20292,Dealer,Petrol,Manual,20.51,998,67.04,5,335000
214,Mahindra Scorpio,11,67900,Dealer,Diesel,Manual,12.05,2179,120.0,7,300000
215,Mahindra Scorpio,6,40000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1051000
216,Hyundai Grand,4,60000,Individual,Diesel,Manual,24.0,1186,73.97,5,510000
217,Renault KWID,3,25000,Individual,Petrol,Automatic,24.04,999,67.0,5,370000
218,Maruti Wagon R,15,70000,Individual,Petrol,Manual,18.9,998,67.1,5,200000
219,Maruti Baleno,3,21000,Individual,Diesel,Manual,27.39,1248,74.0,5,625000
220,Mahindra Scorpio,3,39000,Dealer,Diesel,Manual,16.36,2179,140.0,7,1290000
221,Hyundai Creta,4,30000,Dealer,Petrol,Manual,15.8,1591,121.3,5,890000
222,Hyundai Verna,9,61000,Dealer,Diesel,Manual,22.32,1582,126.3,5,420000
223,Hyundai Grand,3,24200,Individual,Petrol,Manual,18.9,1197,81.86,5,600000
224,Maruti Baleno,4,57000,Individual,Diesel,Manual,27.39,1248,74.0,5,590000
225,Hyundai i10,10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5,190000
226,Mahindra XUV500,6,100000,Individual,Diesel,Manual,15.1,2179,140.0,7,650000
227,Maruti Wagon R,1,10000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
228,Maruti Alto,12,43000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
229,Maruti Wagon R,7,30000,Individual,Petrol,Manual,20.51,998,67.06,5,325000
230,Honda City,7,63000,Dealer,Petrol,Manual,17.8,1497,117.3,5,435000
231,Honda City,4,32226,Dealer,Petrol,Manual,17.8,1497,117.3,5,755000
232,Maruti Alto,7,65000,Individual,Petrol,Manual,23.95,998,67.05,5,245000
233,Renault KWID,3,15000,Individual,Petrol,Automatic,24.04,999,67.0,5,310000
234,Maruti Swift Dzire,3,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5,675000
235,Maruti Wagon R,2,30000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
236,Hyundai i10,11,25000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
237,Mahindra Scorpio,5,35000,Individual,Diesel,Automatic,15.4,2179,120.0,7,1450000
238,Mahindra Scorpio,8,140000,Individual,Diesel,Manual,12.05,2179,120.0,8,530000
239,Hyundai i20,4,35000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
240,Maruti Ciaz,7,160000,Individual,Diesel,Manual,26.21,1248,88.5,5,500000
241,Maruti Baleno,1,7124,Individual,Petrol,Manual,21.01,1197,81.8,5,643000
242,Ford Ecosport,2,15000,Individual,Petrol,Manual,18.1,999,123.24,5,1000000
243,Hyundai Grand,5,34000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
244,Honda City,7,77000,Dealer,Diesel,Manual,26.0,1498,98.6,5,525000
245,Maruti Alto,9,60000,Individual,Petrol,Manual,20.92,998,67.1,5,210000
246,Maruti Alto,8,120000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
247,Renault KWID,2,2500,Individual,Petrol,Manual,23.01,999,67.0,5,400000
248,Maruti Alto,16,5000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
249,Maruti Swift,9,68000,Individual,Diesel,Manual,22.9,1248,74.0,5,381000
250,Maruti Swift Dzire,4,20000,Individual,Diesel,Manual,28.4,1248,74.02,5,700000
251,Maruti Ciaz,4,106000,Dealer,Diesel,Manual,28.09,1248,88.5,5,675000
252,Honda City,6,28000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,670000
253,Mahindra XUV500,3,50000,Individual,Diesel,Manual,16.0,2179,140.0,7,1050000
254,Honda City,10,55000,Dealer,Petrol,Manual,17.0,1497,118.0,5,360000
255,Ford Figo,4,53000,Individual,Diesel,Manual,25.83,1498,99.0,5,400000
256,Hyundai Verna,7,89000,Dealer,Diesel,Manual,22.32,1582,126.32,5,470000
257,Maruti Alto,3,22000,Individual,Petrol,Manual,24.7,796,47.3,5,304000
258,Honda City,7,69000,Dealer,Diesel,Manual,26.0,1498,98.6,5,490000
259,Mahindra Scorpio,5,155000,Individual,Diesel,Manual,15.4,1997,120.0,7,864000
260,Mahindra XUV500,8,85000,Dealer,Diesel,Manual,16.0,2179,140.0,7,480000
261,Maruti Wagon R,2,3600,Dealer,Petrol,Automatic,20.52,1197,81.8,5,575000
262,Maruti Baleno,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
263,Toyota Innova,6,143000,Dealer,Diesel,Manual,12.99,2494,100.0,7,780000
264,Maruti Swift,2,44000,Individual,Diesel,Manual,28.4,1248,74.0,5,800000
265,Maruti Baleno,3,10000,Individual,Petrol,Automatic,21.4,1197,83.1,5,680000
266,Toyota Innova,9,187031,Dealer,Diesel,Manual,12.99,2494,100.0,8,525000
267,Ford Ecosport,2,22346,Dealer,Petrol,Manual,17.0,1497,121.36,5,955000
268,Hyundai i20,9,120000,Individual,Diesel,Manual,21.9,1396,90.0,5,350000
269,Maruti Vitara,1,1000,Dealer,Petrol,Manual,17.03,1462,103.26,5,800000
270,Maruti Alto,16,56700,Individual,Petrol,Manual,19.7,796,46.3,5,75000
271,Mahindra XUV500,6,170000,Individual,Diesel,Manual,16.0,2179,140.0,7,825000
272,Maruti Alto,9,28000,Dealer,Petrol,Manual,19.7,796,46.3,5,180000
273,Hyundai Grand,4,35000,Individual,Petrol,Manual,18.9,1197,81.86,5,490000
274,Maruti Baleno,4,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,550000
275,Hyundai i10,7,40000,Individual,Petrol,Manual,20.36,1197,78.9,5,350000
276,Toyota Innova,2,35000,Individual,Diesel,Manual,13.68,2393,147.8,8,1500000
277,Ford Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,190000
278,Maruti Swift,2,8000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,650000
279,Maruti Ciaz,5,120000,Individual,Diesel,Manual,28.09,1248,88.5,5,700000
280,Maruti Swift,4,34000,Individual,Petrol,Manual,20.4,1197,81.8,5,455000
281,Maruti Swift,7,54000,Dealer,Petrol,Manual,22.0,1197,81.8,5,365000
282,Maruti Swift Dzire,7,11275,Dealer,Petrol,Manual,19.1,1197,85.8,5,470000
283,Maruti Swift,9,48000,Individual,Diesel,Manual,22.9,1248,74.0,5,400000
284,Maruti Swift Dzire,3,31500,Individual,Diesel,Automatic,28.4,1248,74.02,5,740000
285,Honda Amaze,8,73000,Dealer,Diesel,Manual,25.8,1498,98.6,5,325000
286,Hyundai Grand,1,10000,Individual,Petrol,Automatic,20.7,1197,81.86,5,600000
287,Honda Amaze,8,208000,Individual,Diesel,Manual,25.8,1498,98.6,5,300000
288,Hyundai i10,11,30000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
289,Mahindra Scorpio,3,60000,Individual,Diesel,Manual,15.4,2523,75.0,7,900000
290,Mahindra XUV500,5,83000,Dealer,Diesel,Manual,16.0,1997,140.0,7,1025000
291,Maruti Swift,6,34000,Individual,Petrol,Manual,20.4,1197,81.8,5,400000
292,Honda Amaze,7,45120,Dealer,Diesel,Manual,25.8,1498,98.6,5,367000
293,Hyundai Grand,2,15000,Individual,Petrol,Automatic,18.9,1197,81.86,5,535000
294,Maruti Ertiga,2,15000,Individual,Petrol,Manual,19.34,1462,103.0,7,805000
295,Hyundai i10,9,64000,Individual,Petrol,Manual,20.36,1197,78.9,5,250000
296,Maruti Vitara,5,65000,Dealer,Diesel,Manual,24.3,1248,88.5,5,675000
297,Maruti Swift,6,84000,Dealer,Diesel,Manual,28.4,1248,74.0,5,425000
298,Maruti Alto,6,33000,Individual,Petrol,Manual,22.74,796,47.3,5,260000
299,Honda City,5,55670,Dealer,Petrol,Manual,17.8,1497,117.3,5,700000
300,Maruti Baleno,4,50000,Individual,Diesel,Manual,27.39,1248,74.0,5,560000
301,Hyundai Verna,15,148000,Individual,Diesel,Manual,16.8,1493,110.0,5,155000
302,Maruti Ertiga,2,18000,Dealer,Petrol,Manual,19.01,1462,103.26,7,800000
303,Hyundai Grand,6,10000,Individual,Petrol,Manual,18.9,1197,82.0,5,350000
304,Toyota Innova,5,40000,Individual,Diesel,Manual,13.68,2393,147.8,8,1380000
305,Mahindra Scorpio,6,50000,Individual,Diesel,Manual,15.4,2179,120.0,7,1000000
306,Maruti Ertiga,3,50000,Individual,Petrol,Manual,17.5,1373,91.1,7,700000
